ID,Project_Code,PQ_#,PO_/_SO_#,ASN/DN_#,Country,Managed_By,Fulfill_Via,Vendor_INCO_Term,Shipment_Mode,PQ_First_Sent_to_Client_Date,PO_Sent_to_Vendor_Date,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Recorded_Date,Product_Group,Sub_Classification,Vendor,Item_Description,Molecule/Test_Type,Brand,Dosage,Dosage_Form,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Manufacturing_Site,First_Line_Designation,Weight_(Kilograms),Freight_Cost_(USD),Line_Item_Insurance_(USD),Days_to_Process
75733,103-SS-T30,FPQ-14517,SCMS,ASN,South Sudan,PMO - US,Direct Drop,EXW,Air,2014-06-30,7/31/14,2014-12-11,2014-12-11,2014-12-16,ARV,Pediatric,CIPLA LIMITED,"Lamivudine/Zidovudine 30/60mg, dispersible tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,30/60mg,Chewable/dispersible tablet - FDC,60,635,1206.5,1.9,0.03,"Cipla, Goa, India",Yes,59.0,1944.99,1.24,169
45048,116-ZA-T30,FPQ-13035,SCMS,ASN,South Africa,PMO - US,Direct Drop,DDP,Truck,2013-10-08,12/2/13,2014-02-06,2014-02-06,2014-02-06,ARV,Adult,S. BUYS WHOLESALER,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,408,1608.59,3.94,0.07,"Aurobindo Unit III, India",No,,0.0,1.99,121
83066,900-UG-T30,FPQ-10084,SO,DN,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,2012-06-07,N/A - From RDC,2012-09-27,2012-09-27,2012-09-27,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,66160,258685.6,3.91,0.13,"Aurobindo Unit III, India",Yes,5641.0,2175.07,362.68,112
44265,107-RW-T30,FPQ-3859,SCMS,ASN,Rwanda,PMO - US,Direct Drop,CIP,Air,2009-06-30,7/7/09,2011-02-08,2011-02-08,2011-02-08,ARV,Adult,Aurobindo Pharma Limited,"Didanosine 400mg, delayed-release capsules, 30 Caps",Didanosine,Generic,400mg,Delayed-release capsules,30,276,6187.92,22.42,0.75,"Aurobindo Unit III, India",Yes,,0.0,12.13,588
12429,110-ZM-T01,Pre-PQ Process,SO,DN,Zambia,PMO - US,From RDC,N/A - From RDC,Air,2009-01-04,N/A - From RDC,2008-04-10,2008-04-10,2008-04-10,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,25338,314697.96,12.42,0.41,Mylan (formerly Matrix) Nashik,Yes,1974.0,7836.6,503.52,-269
83523,900-GH-T30,FPQ-7866,SO,DN,Ghana,PMO - US,From RDC,N/A - From RDC,Air,2011-06-13,N/A - From RDC,2011-11-14,2011-11-14,2011-11-14,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,32168,265707.68,8.26,0.14,Mylan (formerly Matrix) Nashik,Yes,5199.0,585.0,438.42,154
10648,104-CI-T01,Pre-PQ Process,SO,DN,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2009-01-04,N/A - From RDC,2007-12-14,2007-12-14,2007-12-14,ARV,Adult,SCMS from RDC,"Abacavir/Lamivudine/Zidovudine 300/150/300mg [Trizivir], tablets, 60 Tabs",Abacavir/Lamivudine/Zidovudine,Trizivir,300/150/300mg,Tablet - FDC,60,1847,129290.0,70.0,1.17,GSK Ware (UK),Yes,271.0,1700.0,206.86,-387
5917,130-NG-T01,Pre-PQ Process,SCMS,ASN,Nigeria,PMO - US,Direct Drop,EXW,Air,2009-01-04,7/15/08,2008-10-09,2008-10-09,2008-10-09,ANTM,Malaria,IDA FOUNDATION,"Sulfadoxine/Pyrimethamine 500/25mg, tablets, 1000 Tabs",Sulfadoxine/Pyrimethamine,Generic,500/25mg,Tablet - FDC,1000,7,184.45,26.35,0.03,"Micro Labs Ltd. (Brown & Burk), India",Yes,488.0,4404.9,0.3,-87
83239,151-NG-T30,FPQ-13293,SO,DN,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2013-11-19,N/A - From RDC,2014-05-06,2014-04-17,2014-05-02,ARV,Pediatric,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 30/50/60mg, dispersible tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,Chewable/dispersible tablet - FDC,60,70000,272300.0,3.89,0.06,"Strides, Bangalore, India.",Yes,3376.0,29674.91,279.92,164
10572,104-CI-T01,Pre-PQ Process,SO,DN,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,,2009-01-04,N/A - From RDC,2007-06-08,2007-06-08,2007-06-08,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,1926,16409.52,8.52,0.14,"Ranbaxy, Paonta Shahib, India",Yes,105.0,977.55,,-576
12850,104-CI-T01,Pre-PQ Process,SO,DN,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2009-01-04,N/A - From RDC,2009-04-30,2009-04-30,2009-04-30,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,9599,28797.0,3.0,0.05,"Aurobindo Unit III, India",No,1152.0,,56.44,116
72988,101-CD-T30,FPQ-13548,SCMS,ASN,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,2014-01-22,1/28/14,2014-04-04,2014-04-04,2014-04-28,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,34,1088.0,32.0,1.6,"Trinity Biotech, Plc",No,24721.0,,1.12,96
12120,111-MZ-T01,Pre-PQ Process,SO,DN,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,2009-01-04,N/A - From RDC,2007-11-30,2007-11-30,2007-11-30,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,3480,111360.0,32.0,1.6,"Trinity Biotech, Plc",Yes,2766.0,10698.63,178.18,-401
